2022-08-17 11:02:04.622 -04:00 [DBG] <discover> Refresh requested on schemas: [{"Id":"Contact","Name":"Contact","Description":"","Properties":[],"Count":null,"Sample":[],"Query":"","PublisherMetaJson":"","Errors":[],"DataFlowDirection":0}]
2022-08-17 11:06:14.355 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:06:14.3550636Z
2022-08-17 11:06:19.368 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:06:14.3550636Z
2022-08-17 11:06:19.369 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:06:19.3685371Z
2022-08-17 11:06:22.978 -04:00 [DBG] <test> Got message: {"data":{"event":{"createdDate":"2022-08-17T15:06:22.045Z","replayId":4,"type":"deleted"},"sobject":{"Id":"0031U000026onWWQAY"}},"channel":"/topic/Contacts_IdName"}
2022-08-17 11:06:24.377 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:06:19.3685371Z
2022-08-17 11:06:28.021 -04:00 [DBG] <test> Deleting record Id_0031U000026onWWQAY_Email_
2022-08-17 11:06:28.023 -04:00 [DBG] <test> Got 1 records since 2022-08-17T15:06:28.0231762Z
2022-08-17 11:06:33.033 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:06:28.0231762Z
2022-08-17 11:06:33.034 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:06:33.0338881Z
2022-08-17 11:06:38.075 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:06:33.0338881Z
2022-08-17 11:06:38.075 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:06:38.0750476Z
2022-08-17 11:06:43.085 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:06:38.0750476Z
2022-08-17 11:06:43.085 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:06:43.0852349Z
2022-08-17 11:06:48.104 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:06:43.0852349Z
2022-08-17 11:06:48.104 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:06:48.1042341Z
2022-08-17 11:06:53.123 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:06:48.1042341Z
2022-08-17 11:06:53.124 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:06:53.1236889Z
2022-08-17 11:06:58.143 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:06:53.1236889Z
2022-08-17 11:06:58.143 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:06:58.1430958Z
2022-08-17 11:07:03.168 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:06:58.1430958Z
2022-08-17 11:07:03.169 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:07:03.1689302Z
2022-08-17 11:07:08.169 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:07:03.1689302Z
2022-08-17 11:07:08.169 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:07:08.1691046Z
2022-08-17 11:07:13.171 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:07:08.1691046Z
2022-08-17 11:07:13.172 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:07:13.1716934Z
2022-08-17 11:07:18.171 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:07:13.1716934Z
2022-08-17 11:07:18.172 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:07:18.1718657Z
2022-08-17 11:07:23.183 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:07:18.1718657Z
2022-08-17 11:07:23.183 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:07:23.1833273Z
2022-08-17 11:07:28.190 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:07:23.1833273Z
2022-08-17 11:07:28.190 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:07:28.1906731Z
2022-08-17 11:07:33.216 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:07:28.1906731Z
2022-08-17 11:07:33.217 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:07:33.2166924Z
2022-08-17 11:07:38.225 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:07:33.2166924Z
2022-08-17 11:07:38.226 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:07:38.2259592Z
2022-08-17 11:07:43.242 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:07:38.2259592Z
2022-08-17 11:07:43.242 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:07:43.2423898Z
2022-08-17 11:07:48.261 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:07:43.2423898Z
2022-08-17 11:07:48.261 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:07:48.2611768Z
2022-08-17 11:07:53.271 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:07:48.2611768Z
2022-08-17 11:07:53.272 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:07:53.2717125Z
